PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR,RESIGNED
10000002,Male,Singapore,Singaporean,47,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,16.75,VOCATION 18,UNIT 157,2.0,17.0,18.5,Diploma,Diploma,6.0,TECHNICIAN DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,NO,NO,1.0,4-ROOM,PUBLIC,4.0,EXECUTIVE,YES,-2.0,1.0,3.0,7.17,0.0,-8.451437253,-15.07541308,1
10000004,Male,Singapore,Singaporean,52,40 and Above,Marr.,RANK 23,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,34.58333333,VOCATION 12,UNIT 273,1.0,16.0,16.0,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,7.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,1.0,4.0,5.22,0.0,-20.21329895,13.76169759,0
10000008,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,33.33333333,VOCATION 59,UNIT 185,2.0,26.0,26.5,Technical Education,ITE/Poly Certificate,5.0,MAINTENANCE FITTING,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,2.0,3-ROOM,PUBLIC,3.0,PRIVATE NON-LANDED,YES,-4.0,3.0,1.0,17.23960153,0.0,-12.09059405,6.887772041,0
10000009,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,23.16666667,VOCATION 236,UNIT 345,2.0,10.0,13.0,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,YES,NO,3.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,0.0,3.0,15.59,0.0,-13.67287185,7.4590218329999995,0
10000010,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,5,MILITARY REGULARS,SERVICE A,SERVICE A,PS (Mil),22.0,VOCATION 198,UNIT 326,1.0,13.0,13.0,University,Master,10.0,MASTER OF SCIENCE IN ENGINEERING SCIENCE,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,2.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,1.0,3.0,13.63,0.0,-12.93448945,6.945134437999999,0
10000013,Male,Singapore,Singaporean,42,40 and Above,Single,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,20.91666667,VOCATION 236,UNIT 265,0.0,0.0,0.0,Diploma,Diploma,6.0,DIPLOMA IN MECHANICAL ENGINEERING,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NO,NO,1.0,0.0,0.0,0.0,0.0,YES,YES,YES,1.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,0.0,3.0,17.23960153,1.0,-15.17482586,6.679464225,0
10000014,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 38,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,22.66666667,VOCATION 203,UNIT 257,3.0,10.0,11.0,University,Honours Degree,9.0,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,0.0,YES,YES,YES,4.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,0.0,3.0,28.03,0.0,-16.22250266,9.486130464,0
10000015,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 38,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.33333333,VOCATION 252,UNIT 273,1.0,0.0,0.0,University,Pass Degree,8.0,BACHELOR OF BUSINESS (MERIT),NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,0.0,YES,YES,NO,4.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,2.0,5.0,18.05,0.0,-8.695512791,8.782021383,0
10000016,Male,Singapore,Singaporean,40,36 to 40,Single,RANK 10,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE E,SERVICE C,SAVER-EOS,19.91666667,VOCATION 121,UNIT 333,0.0,0.0,0.0,University,Honours Degree,9.0,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,2.0,2.0,2.0,1.0,0.0,YES,YES,YES,4.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,3.0,5.0,27.63,0.0,-14.49565526,11.63866434,0
10000018,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 27,SENIOR ME,0,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,19.08333333,VOCATION 234,UNIT 336,2.0,12.0,13.0,Diploma,Diploma,6.0,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,YES,YES,YES,2.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,2.0,5.0,16.28,0.0,-19.70968209,5.707364401,0
10000020,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 12,MIDDLE OFFICER,12,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.16666667,VOCATION 179,UNIT 242,0.0,0.0,0.0,University,Pass Degree,8.0,BACHELOR OF SCIENCE IN COMPUTER SCIENCE WITH MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,NO,NO,2.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,2.0,5.0,24.67,0.0,-13.316471300000002,3.4327601160000003,0
10000021,Male,Singapore,Singaporean,43,40 and Above,Single,RANK 10,SENIOR OFFICER,7,NATIONAL SERVICEMEN,SERVICE E,SERVICE C,SAVER-EOS,24.5,VOCATION 68,UNIT 275,0.0,0.0,0.0,University,Master,10.0,MASTER OF ARTS,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,NO,NO,5.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,3.0,4.0,2.87,0.0,22.03582066,3.706480001,1
10000023,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,16.16666667,VOCATION 236,UNIT 412,1.0,19.0,19.0,Diploma,Diploma,6.0,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,0.0,0.0,0.0,0.0,YES,NO,NO,1.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,0.0,3.0,0.0,0.0,-7.5515867,7.074282479,0
10000024,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 21,JUNIOR ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,22.33333333,VOCATION 59,UNIT 136,2.0,0.0,0.0,Diploma,Diploma,6.0,DIPLOMA IN MECHATRONICS,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,YES,NO,2.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,3.0,4.0,24.14,0.0,-14.21542264,8.256869716,0
10000025,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE D,SERVICE A,MDES,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10000026,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 10,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,21.91666667,VOCATION 121,UNIT 155,2.0,10.0,11.0,University,Pass Degree,8.0,BACHELOR OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,2.0,2.0,1.0,1.0,0.0,YES,YES,NO,5.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,3.0,4.0,8.41,0.0,-18.11428936,8.59628262,0
10000028,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 27,SENIOR ME,2,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,MDES,19.83333333,VOCATION 59,UNIT 135,2.0,13.0,14.5,University,Master,10.0,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,YES,NO,1.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,2.0,3.0,18.95,0.0,-14.63832005,5.416719209,1
10000029,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,1,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,22.16666667,VOCATION 12,UNIT 109,1.0,13.0,13.0,Diploma,Diploma,6.0,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,0.0,YES,YES,NO,2.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,0.0,3.0,9.97,0.0,-12.38786452,9.219741685,0
10000030,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,0,MILITARY REGULARS,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),21.83333333,VOCATION 179,UNIT 280,3.0,7.0,12.0,Pre University,GCE 'A' Level,6.0,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,YES,YES,NO,6.0,LANDED,PRIVATE,8.0,NONE,NO,0.0,1.0,4.0,17.14,0.0,-16.46792621,4.980236266,0
10000031,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,31.83333333,VOCATION 59,UNIT 241,3.0,10.0,14.66666667,Technical Education,ITE/Poly Certificate,5.0,METAL MACHINING,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,NO,NO,4.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,1.0,1.0,12.27,0.0,-12.71559329,7.019397143,0
10000032,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,3,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),24.16666667,VOCATION 251,UNIT 260,2.0,8.0,11.5,Diploma,Diploma,6.0,DIPLOMA IN MANUFACTURING ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,NO,NO,NO,1.0,LANDED,PRIVATE,8.0,NONE,NO,0.0,3.0,5.0,23.46,0.0,-9.151753591,10.948213699999998,1
10000034,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 10,SENIOR OFFICER,4,MILITARY REGULARS,SERVICE E,SERVICE C,Full CPF (SAVER-EOS),25.91666667,VOCATION 96,UNIT 333,2.0,15.0,16.0,Diploma,Diploma,6.0,DIPLOMA IN MANUFACTURING ENGINEERING,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,1.0,0.0,0.0,0.0,0.0,YES,YES,YES,6.0,5-ROOM,PUBLIC,5.0,PRIVATE NON-LANDED,YES,-2.0,3.0,5.0,17.81,1.0,-16.58047687,4.517835208999999,0
10000036,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,11,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),26.83333333,VOCATION 252,UNIT 20,1.0,10.0,10.0,University,Honours Degree,9.0,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (LOWER)),NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,3.0,LANDED,PRIVATE,8.0,NONE,NO,0.0,2.0,3.0,8.56,0.0,1.983524734,5.000977845,1
10000037,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 38,SENIOR OFFICER,2,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),25.66666667,VOCATION 68,UNIT 422,3.0,11.0,16.66666667,Pre University,GCE 'A' Level,6.0,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,0.0,0.0,NO,NO,NO,1.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,3.0,3.0,25.08,0.0,-7.681247205,7.328379745,0
10000039,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 5,MIDDLE WOSE,6,MILITARY REGULARS,SERVICE B,SERVICE C,PP-EWOS,28.66666667,VOCATION 275,UNIT 244,2.0,10.0,15.0,Technical Education,ITE/Poly Certificate,5.0,BUSINESS AND COMMERCE,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,1.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,1.0,3.0,10.04,0.0,-33.26718518,-24.00272632,0
10000040,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE C,MDES,28.83333333,VOCATION 59,UNIT 95,2.0,10.0,11.5,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,1.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,1.0,3.0,8.69,0.0,-0.7321829459999999,6.62530406,0
10000041,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 34,SENIOR OFFICER,2,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,SAVER-EOS,24.33333333,VOCATION 203,UNIT 296,1.0,15.0,15.0,University,Master,10.0,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,YES,YES,6.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,2.0,4.0,2.25,0.0,0.0,0.0,1
10000042,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.83333333,VOCATION 59,UNIT 241,2.0,19.0,20.0,Technical Education,ITE/Poly Certificate,5.0,GENERAL FITTING,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,9.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,3.0,4.0,0.0,0.0,-4.594734512,7.046338314,0
10000043,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,22.41666667,VOCATION 59,UNIT 136,1.0,13.0,13.0,Secondary,GCE 'N' Level,3.0,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,0.0,0.0,NO,NO,NO,1.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,0.0,3.0,9.94,0.0,-11.55594457,10.14343181,0
10000045,Male,Singapore,Singaporean,45,40 and Above,Single,RANK 27,SENIOR ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,25.16666667,VOCATION 234,UNIT 274,0.0,0.0,0.0,University,Master,10.0,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,NO,NO,1.0,PRIVATE NON-LANDED,PRIVATE,7.0,PRIVATE NON-LANDED,YES,0.0,3.0,4.0,7.14,0.0,-9.942671188,7.514052737999999,0
10000046,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,12,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),28.41666667,VOCATION 203,UNIT 265,1.0,11.0,11.0,University,Pass Degree,8.0,BACHELOR OF BUSINESS,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,YES,YES,YES,2.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,1.0,5.0,31.63,0.0,2.765167776,4.999526907,0
10000047,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,7,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),26.91666667,VOCATION 127,UNIT 229,3.0,11.0,15.33333333,Pre University,GCE 'A' Level,6.0,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,1.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,1.0,3.0,25.44,0.0,13.81135453,4.992789915,0
10000048,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 38,SENIOR OFFICER,3,MILITARY REGULARS,SERVICE E,SERVICE C,Full CPF (SAVER-EOS),22.66666667,VOCATION 262,UNIT 207,2.0,11.0,12.5,University,Master,10.0,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,YES,YES,3.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,0.0,4.0,16.73,0.0,-17.64165986,6.903243174,0
10000049,Male,Singapore,Singaporean,47,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.83333333,VOCATION 59,UNIT 330,2.0,13.0,13.5,Diploma,Diploma,6.0,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,2.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,2.0,1.0,11.02,0.0,-20.023597199999998,11.36205745,0
10000050,Male,Singapore,Singaporean,46,40 and Above,Single,RANK 2,MIDDLE WOSE,2,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,28.41666667,VOCATION 2,UNIT 232,0.0,0.0,0.0,Diploma,Diploma,6.0,DIPLOMA IN BUSINESS MANAGEMENT,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,0.0,0.0,NO,NO,NO,4.0,3-ROOM,PUBLIC,3.0,5-ROOM,YES,-2.0,2.0,3.0,32.92,0.0,-30.57995,-21.41861606,0
10000054,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 5,MIDDLE WOSE,5,MILITARY REGULARS,SERVICE A,SERVICE A,PP-EWOS,24.66666667,VOCATION 196,UNIT 394,2.0,16.0,17.5,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,1.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,3.0,4.0,24.55,0.0,-25.46573733,-21.19115812,0
10000057,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 38,SENIOR OFFICER,0,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,23.41666667,VOCATION 127,UNIT 236,1.0,7.0,7.0,University,Master,10.0,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,YES,YES,YES,5.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,2.0,4.0,18.34,0.0,-22.02833385,7.093333309,0
